X,Y,Z,sii_sii
-3.834030976296550400e+16,-1.512638519024025600e+16,-1.419042913832140800e+16,1.174443244934082031e+00
-3.826072401897062400e+16,-1.823026356577894400e+16,-2.034934244756684800e+16,9.830702543258666992e-01
-3.826072401897062400e+16,-1.815067567430041600e+16,-2.036419444447641600e+16,8.955162167549133301e-01
-3.826072401897062400e+16,-1.568349076691353600e+16,2.130141241147392000e+15,5.862843990325927734e-01
-3.826072401897062400e+16,-1.560390394917683200e+16,1.826959365505024000e+15,6.969694495201110840e-01
-3.826072401897062400e+16,-1.552431713144012800e+16,1.802651461222400000e+15,1.228696584701538086e+00
-3.826072401897062400e+16,-1.544473031370342400e+16,-1.452909375206195200e+16,1.244259953498840332e+00
-3.826072401897062400e+16,-1.536514349596672000e+16,-1.445064080569139200e+16,1.299466371536254883e+00
-3.826072401897062400e+16,-1.528555775197184000e+16,-1.440271433937715200e+16,1.198652505874633789e+00
-3.826072401897062400e+16,-1.520597093423513600e+16,-1.430661551987097600e+16,1.205906391143798828e+00
-3.826072401897062400e+16,-1.512638519024025600e+16,-1.423449657652019200e+16,1.136212229728698730e+00
-3.818113398000844800e+16,-1.799150311256883200e+16,-2.017204834507161600e+16,1.163471817970275879e+00
-3.818113398000844800e+16,-1.791191629483212800e+16,-2.008146533731532800e+16,1.076302647590637207e+00
-3.818113398000844800e+16,-1.783232947709542400e+16,-2.010041473302528000e+16,1.016915082931518555e+00
-3.818113398000844800e+16,-1.568349076691353600e+16,2.078397756866560000e+15,5.697338581085205078e-01
-3.818113398000844800e+16,-1.560390394917683200e+16,1.861946437533696000e+15,7.928841114044189453e-01
-3.818113398000844800e+16,-1.552431713144012800e+16,1.811272131674112000e+15,1.299690485000610352e+00
-3.818113398000844800e+16,-1.544473031370342400e+16,-1.455139107477913600e+16,1.307629466056823730e+00
-3.818113398000844800e+16,-1.536514349596672000e+16,-1.447538196480000000e+16,1.288352966308593750e+00
-3.818113398000844800e+16,-1.528555775197184000e+16,-1.439445296978329600e+16,1.206620216369628906e+00
-3.818113398000844800e+16,-1.520597093423513600e+16,-1.434024081883136000e+16,1.145988106727600098e+00
-3.810154823601356800e+16,-1.799150311256883200e+16,-2.018222097511219200e+16,1.101316094398498535e+00
-3.810154823601356800e+16,-1.791191629483212800e+16,-2.017551438367948800e+16,9.897533059120178223e-01
-3.810154823601356800e+16,-1.783232947709542400e+16,6.913766696419328000e+15,1.083169102668762207e+00
-3.810154823601356800e+16,-1.775274265935872000e+16,-2.006463121299865600e+16,1.127019286155700684e+00
-3.810154823601356800e+16,-1.568349076691353600e+16,2.006946412494848000e+15,5.247193574905395508e-01
-3.810154823601356800e+16,-1.560390394917683200e+16,1.912012468649984000e+15,6.706431508064270020e-01
-3.810154823601356800e+16,-1.552431713144012800e+16,1.873272400510976000e+15,1.190791964530944824e+00
-3.810154823601356800e+16,-1.544473031370342400e+16,-1.452349418844979200e+16,1.225812554359436035e+00
